Id,ClusterId,Lat,Lng,Tags
72,161,54.2455284,18.6533499,"{""barrier"": ""gate""}"
73,162,54.2461805,18.6564063,"{""access"": ""private"", ""barrier"": ""gate""}"
74,170,54.24737,18.7212,"{""addr:city"": ""L\u0119dowo"", ""addr:housenumber"": ""3"", ""addr:postcode"": ""83-021"", ""addr:street"": ""Kasztanowa"", ""source:addr"": ""pruszczgdanski.e-mapa.net""}"
75,171,54.24645,18.72909,"{""addr:city"": ""Grabiny-Zameczek"", ""addr:housenumber"": ""5"", ""addr:postcode"": ""83-022"", ""addr:street"": ""Cedrowa"", ""source:addr"": ""suchydab.e-mapa.net""}"
76,172,54.24654,18.73414,"{""addr:city"": ""Grabiny-Zameczek"", ""addr:housenumber"": ""17"", ""addr:postcode"": ""83-022"", ""addr:street"": ""Cedrowa"", ""source:addr"": ""suchydab.e-mapa.net""}"
77,173,54.24456,18.74232,"{""addr:city"": ""Grabiny-Zameczek"", ""addr:housenumber"": ""3"", ""addr:postcode"": ""83-022"", ""addr:street"": ""Grabowa"", ""source:addr"": ""suchydab.e-mapa.net""}"
78,174,54.2449666,18.7509743,"{""highway"": ""traffic_signals"", ""traffic_signals"": ""signal""}"
79,178,54.24563,18.78549,"{""addr:city"": ""Trutnowy"", ""addr:housenumber"": ""7"", ""addr:postcode"": ""83-020"", ""addr:street"": ""Podkomorzego"", ""source:addr"": ""cedrywielkie.e-mapa.net""}"
80,182,54.24492,18.81374,"{""addr:city"": ""Trutnowy"", ""addr:housenumber"": ""22"", ""addr:postcode"": ""83-020"", ""addr:street"": ""Aleja Lip"", ""source:addr"": ""cedrywielkie.e-mapa.net""}"
81,185,54.24501,18.84154,"{""addr:city"": ""Cedry Wielkie"", ""addr:housenumber"": ""5"", ""addr:postcode"": ""83-020"", ""addr:street"": ""Mi\u0142a"", ""source:addr"": ""cedrywielkie.e-mapa.net""}"
82,186,54.2441816,18.8457262,"{""addr:postcode"": ""83-020"", ""is_in:county"": ""powiat gda\u0144ski"", ""is_in:municipality"": ""gmina Cedry Wielkie"", ""is_in:province"": ""wojew\u00f3dztwo pomorskie"", ""name"": ""Cedry Wielkie"", ""name:de"": ""Gro\u00df Z\u00fcnder"", ""place"": ""village"", ""population"": ""1007"", ""source:population"": ""wikipedia"", ""teryt:rm"": ""01"", ""teryt:simc"": ""0159640"", ""teryt:stan_na"": ""2009-01-01"", ""teryt:updated_by"": ""teryt2osm combine.py v. 43"", ""wikidata"": ""Q1003733"", ""wikipedia"": ""pl:Cedry Wielkie""}"
83,187,54.24377,18.85352,"{""addr:city"": ""Cedry Wielkie"", ""addr:housenumber"": ""42"", ""addr:postcode"": ""83-020"", ""addr:street"": ""Macieja P\u0142a\u017cy\u0144skiego"", ""source:addr"": ""cedrywielkie.e-mapa.net""}"
84,188,54.2455892,18.863838,"{""power"": ""tower"", ""ref"": ""269""}"
85,191,54.24642,18.88527,"{""addr:housenumber"": ""1"", ""addr:place"": ""Leszkowy"", ""addr:postcode"": ""83-020"", ""source:addr"": ""cedrywielkie.e-mapa.net""}"
86,195,54.24555,18.91942,"{""addr:city"": ""Kiezmark"", ""addr:housenumber"": ""4"", ""addr:postcode"": ""83-020"", ""addr:street"": ""Serowa"", ""source:addr"": ""cedrywielkie.e-mapa.net""}"
87,196,54.24498,18.92132,"{""addr:housenumber"": ""47"", ""addr:place"": ""Leszkowy"", ""addr:postcode"": ""83-020"", ""source:addr"": ""cedrywielkie.e-mapa.net""}"
88,197,54.24718,18.92966,"{""addr:city"": ""Kiezmark"", ""addr:housenumber"": ""3"", ""addr:postcode"": ""83-020"", ""addr:street"": ""Wi\u015blana"", ""source:addr"": ""cedrywielkie.e-mapa.net""}"
89,199,54.24699,18.94905,"{""created_by"": ""almien_coastlines""}"
90,200,54.25274,18.17802,"{""addr:city:simc"": ""0172630"", ""addr:housenumber"": ""69"", ""addr:place"": ""S\u0142awki"", ""addr:postcode"": ""83-314"", ""source:addr"": ""somonino.e-mapa.net""}"
91,201,54.24909,18.185,"{""addr:city:simc"": ""0172630"", ""addr:housenumber"": ""46a"", ""addr:place"": ""S\u0142awki"", ""addr:postcode"": ""83-314"", ""source:addr"": ""somonino.e-mapa.net""}"
92,202,54.25155,18.1917,"{""addr:city:simc"": ""0172630"", ""addr:housenumber"": ""41"", ""addr:place"": ""S\u0142awki"", ""addr:postcode"": ""83-314"", ""source:addr"": ""somonino.e-mapa.net""}"
93,203,54.2504667,18.1980667,"{""created_by"": ""JOSM""}"
94,205,54.2490075,18.2196712,"{""distance"": ""283"", ""highway"": ""milestone"", ""ref"": ""20"", ""source"": ""GPS(APK:StrazakOSM)""}"
95,207,54.2519982,18.2327486,"{""historic"": ""wayside_shrine"", ""name"": ""Hopowska Golgota""}"
96,208,54.2488889,18.2397222,"{""is_in:village"": ""Hopowo"", ""name"": ""Hopowo-Wybudowanie"", ""name:genitive"": ""Hopowa-Wybudowania"", ""place"": ""hamlet"", ""source"": ""PRNG""}"
97,209,54.2503944,18.2496333,"{""power"": ""tower""}"
98,210,54.2522253,18.2549528,"{""power"": ""tower""}"
99,211,54.2498504,18.2642609,"{""material"": ""steel"", ""power"": ""tower"", ""structure"": ""lattice""}"
100,212,54.2505364,18.2687556,"{""material"": ""steel"", ""power"": ""tower"", ""structure"": ""lattice""}"
101,213,54.2521493,18.2793151,"{""material"": ""steel"", ""power"": ""tower"", ""structure"": ""lattice""}"
102,221,54.25015,18.34104,"{""addr:city"": ""Z\u0105brsko G\u00f3rne"", ""addr:housenumber"": ""24"", ""addr:postcode"": ""83-047"", ""addr:street"": ""Rajska"", ""source:addr"": ""przywidz.e-mapa.net""}"
103,224,54.25138,18.36347,"{""addr:city"": ""Marszewo"", ""addr:housenumber"": ""1"", ""addr:postcode"": ""83-047"", ""addr:street"": ""Reknicka"", ""source:addr"": ""przywidz.e-mapa.net""}"
104,227,54.24929,18.38695,"{""addr:city"": ""Jod\u0142owno"", ""addr:housenumber"": ""2"", ""addr:postcode"": ""83-047"", ""addr:street"": ""Kasztanowa"", ""source:addr"": ""przywidz.e-mapa.net""}"
105,228,54.2512631,18.396899,"{""name"": ""110"", ""power"": ""tower""}"
106,233,54.2496788,18.4377807,"{""barrier"": ""swing_gate""}"
107,236,54.2495538,18.4604175,"{""power"": ""tower""}"
108,238,54.25038,18.47573,"{""addr:city"": ""Pr\u0119gowo"", ""addr:city:simc"": ""1066946"", ""addr:housenumber"": ""1"", ""addr:postcode"": ""83-050"", ""addr:street"": ""Pieczarkowa"", ""addr:street:sym_ul"": ""16100"", ""source:addr"": ""kolbudy.e-mapa.net""}"
